id,fullName,shortName,nationality,dateOfBirth,bowlingStyle,batter_hand,bowler_hand
170,David Warner,D Warner,Australian,10/27/86,LEG_SPIN,L,R
61,Varun Aaron,V Aaron,Indian,10/29/89,FAST_SEAM,R,R
91,Pradeep Sangwan,P Sangwan,Indian,11/5/90,MEDIUM_SEAM,R,L
267,Anustup Majumdar,A Majumdar,Indian,4/30/84,,L,L
83,Ramesh Powar,R Powar,Indian,5/20/78,OFF_SPIN,R,R
177,Andre Russell,A Russell,West Indian,4/29/88,FAST_SEAM,R,R
11,Srikkanth Anirudha,S Anirudha,Indian,4/14/87,,L,L
242,Mohnish Mishra,M Mishra,Indian,2/9/84,,L,L
269,Krishnakant Upadhyay,K Upadhyay,Indian,6/18/86,,L,L
212,Herschelle Gibbs,H Gibbs,South African,2/23/74,LEG_SPIN,R,R
60,Unmukt Chand,U Chand,Indian,3/26/93,,L,L
179,Chris Lynn,C Lynn,Australian,4/10/90,,R,L
119,Harpreet Singh,H Singh,Indian,8/11/91,MEDIUM_SEAM,L,R
114,Ali Murtaza,A Murtaza,Indian,1/1/90,ORTHODOX,L,L
101,Dhawal Kulkarni,D Kulkarni,Indian,12/10/88,MEDIUM_SEAM,R,R
251,Sunny Gupta,S Gupta,Indian,9/27/88,,L,L
197,Eoin Morgan,E Morgan,English,9/10/86,MEDIUM_SEAM,L,R
51,Manpreet Juneja,M Juneja,Indian,9/12/90,OFF_SPIN,R,R
276,Karun Nair,K Nair,Indian,12/6/91,OFF_SPIN,R,R
361,Ricky Ponting,R Ponting,Australian,12/19/74,MEDIUM_SEAM,R,R
1124,Jasprit Bumrah,J Bumrah,Indian,12/6/93,FAST_SEAM,R,R
213,Mitchell Johnson,M Johnson,Australian,11/2/81,FAST_SEAM,L,L
293,Jacob Oram,J Oram,New Zealander,7/28/78,FAST_SEAM,L,R
1117,Hanuma Vihari,H Vihari,Indian,10/13/93,OFF_SPIN,R,R
38,Ishant Sharma,I Sharma,Indian,9/2/88,FAST_SEAM,R,R
113,Yuvraj Singh,Y Singh,Indian,12/12/81,ORTHODOX,L,L
221,Mitchell Marsh,M Marsh,Australian,10/20/91,MEDIUM_SEAM,R,R
716,Kushal Janith Perera,KJ Perera,Sri Lankan,9/6/12,,L,L
150,Shanthakumaran Sreesanth,S Sreesanth,Indian,2/6/83,MEDIUM_SEAM,R,R
590,Samuel Badree,S Badree,West Indian,3/9/81,LEG_SPIN,R,R
237,Dirk Nannes,D Nannes,Australian,5/16/76,FAST_SEAM,L,L
921,Ben Laughlin,B Laughlin,Australian,10/3/82,MEDIUM_SEAM,R,R
1106,Ankit Rajpoot,A Rajpoot,Indian,12/4/93,MEDIUM_SEAM,R,R
1085,Manan Vohra,M Vohra,Indian,7/18/93,OFF_SPIN,R,R
78,Rajagopal Sathish,R Sathish,Indian,1/14/81,MEDIUM_SEAM,R,R
388,Moises Henriques,M Henriques,Australian,2/1/87,MEDIUM_SEAM,R,R
94,Mohammad Shami,M Shami,Indian,9/3/90,FAST_SEAM,R,R
1088,Rishi Dhawan,R Dhawan,Indian,2/19/90,MEDIUM_SEAM,R,R
503,Jeevan Mendis,J Mendis,Sri Lankan,1/15/83,LEG_SPIN,L,R
297,Kedar Jadhav,K Jadhav,Indian,3/26/85,OFF_SPIN,R,R
836,Chris Morris,C Morris,South African,4/30/87,FAST_SEAM,R,R
1125,KL Rahul,KL Rahul,Indian,4/18/92,,R,R
288,Ryan McLaren,R McLaren,South African,2/9/83,MEDIUM_SEAM,R,R
1091,Harmeet Singh,H Singh,Indian,9/7/92,MEDIUM_SEAM,R,R
1086,Siddarth Kaul,S Kaul,Indian,5/19/90,MEDIUM_SEAM,R,R
1107,Mohit Sharma,M Sharma,Indian,12/19/91,MEDIUM_SEAM,R,R
594,Ravi Rampaul,R Rampaul,West Indian,10/15/84,FAST_SEAM,R,R
811,Sachithra Senanayake,S Senanayake,Sri Lankan,2/9/85,OFF_SPIN,R,R
1118,Karn Sharma,K Sharma,Indian,10/23/87,LEG_SPIN,L,R
258,Sanju Samson,S Samson,Indian,11/11/94,,R,R
647,Ben Rohrer,B Rohrer,Australian,3/26/81,,R,L
834,Quinton de Kock,Q de Kock,South African,12/17/92,,L,L
358,Ajantha Mendis,A Mendis,Sri Lankan,3/11/85,OFF_SPIN,R,R
1075,Jason Holder,J Holder,West Indian,11/5/91,MEDIUM_SEAM,R,R
1090,Ishwar Pandey,I Pandey,Indian,8/15/89,MEDIUM_SEAM,R,R
238,Luke Pomersbach,L Pomersbach,Australian,9/28/84,,L,L
111,Yuzvendra Chahal,Y Chahal,Indian,7/23/90,LEG_SPIN,R,R
589,Darren Sammy,D Sammy,West Indian,12/20/83,MEDIUM_SEAM,R,R
1119,Thalaivan Sargunam,T Sargunam,Indian,5/15/85,,R,L
93,Sarabjit Ladda,S Ladda,Indian,7/10/86,LEG_SPIN,R,R
1115,Sachin Baby,S Baby,Indian,12/18/88,,R,R
798,Kane Richardson,K Richardson,Australian,2/12/91,FAST_SEAM,R,R
2,Abhinav Mukund,A Mukund,Indian,1/6/90,,L,L
149,Sumit Narwal,S Narwal,Indian,4/16/82,MEDIUM_SEAM,R,R
105,Pawan Suyal,P Suyal,Indian,10/15/89,MEDIUM_SEAM,R,L
1089,Udit Birla,U Birla,Indian,11/17/89,,R,L
268,Mahesh Rawat,M Rawat,Indian,10/25/85,,L,L
909,Michael Neser,M Neser,Australian,3/29/90,MEDIUM_SEAM,R,R
1114,Pravin Tambe,P Tambe,Indian,10/8/71,LEG_SPIN,R,R
155,Chidhambaram Gautam,C Gautam,Indian,3/8/86,,R,R
1093,Parveez Rasool,P Rasool,Indian,2/13/89,OFF_SPIN,R,R
1112,Sandeep Sharma,S Sharma,Indian,5/18/93,MEDIUM_SEAM,R,R
82,Vikramjeet Malik,V Malik,Indian,5/9/83,MEDIUM_SEAM,R,R
270,Raiphi Gomez,R Gomez,Indian,10/16/85,MEDIUM_SEAM,R,R
99,Aditya Tare,A Tare,Indian,11/7/87,,R,R
840,Nathan Coulter-Nile,N Coulter-Nile,Australian,10/11/87,FAST_SEAM,R,R
968,Corey Anderson,C Anderson,New Zealander,12/13/90,MEDIUM_SEAM,L,L
971,Jimmy Neesham,J Neesham,New Zealander,9/17/90,MEDIUM_SEAM,L,R
858,Nic Maddinson,N Maddinson,Australian,12/21/91,,L,L
128,Sachin Rana,S Rana,Indian,9/18/84,,L,L
490,Mitchell Starc,M Starc,Australian,1/30/90,FAST_SEAM,L,L
19,George Bailey,G Bailey,Australian,9/7/82,,R,R
1113,Axar Patel,A Patel,Indian,1/20/94,ORTHODOX,L,L
307,Tim Southee,T Southee,New Zealander,12/11/88,MEDIUM_SEAM,R,R
1750,Yogesh Takawale,Y Takawale,Indian,11/5/84,,R,R
918,Ben Dunk,B Dunk,Australian,3/11/87,,L,L
239,Rilee Rossouw,R Rossouw,South African,10/9/89,,L,L
1749,Rahul Tewatia,R Tewatia,Indian,5/20/93,LEG_SPIN,L,R
1744,Shivam Sharma,Shivam Sharma,Indian,9/9/93,MEDIUM_SEAM,R,R
898,Imran Tahir,I Tahir,South African,3/27/79,LEG_SPIN,R,R
595,Lendl Simmons,L Simmons,West Indian,1/25/85,MEDIUM_SEAM,R,R
278,Vijay Zol,V Zol,Indian,11/23/94,,L,R
1083,Vijay Shankar,V Shankar,Indian,1/26/91,MEDIUM_SEAM,R,R
913,Ben Cutting,B Cutting,Australian,1/30/87,FAST_SEAM,R,L
1748,Shreyas Gopal,S Gopal,Indian,9/4/93,LEG_SPIN,R,R
1747,Krishmar Santokie,K Santokie,West Indian,12/20/84,MEDIUM_SEAM,L,L
1752,Beuran Hendricks,B Hendricks,South African,6/8/90,FAST_SEAM,L,L
488,Pat Cummins,P Cummins,Australian,5/8/93,FAST_SEAM,R,R
748,John Hastings,J Hastings,Australian,11/4/85,MEDIUM_SEAM,R,R
1743,Karanveer Singh,K Singh,Indian,11/8/87,,R,L
1563,Shreyas Iyer,S Iyer,Indian,12/6/94,LEG_SPIN,R,R
2736,Domnic Joseph,D Joseph,Indian,3/9/81,MEDIUM_SEAM,R,R
412,Anureet Singh,Anureet Singh,Indian,2/26/82,,R,L
1556,Deepak Hooda,D Hooda,Indian,4/19/95,OFF_SPIN,R,R
440,Kane Williamson,K Williamson,New Zealander,8/8/90,OFF_SPIN,R,R
374,Ravi Bopara,R Bopara,English,5/4/85,MEDIUM_SEAM,R,R
969,Trent Boult,T Boult,New Zealander,7/22/89,FAST_SEAM,R,L
2743,KC Cariappa,KC Cariappa,Indian,4/13/94,LEG_SPIN,R,R
942,Sean Abbott,S Abbott,Australian,2/29/92,FAST_SEAM,R,R
2741,Jagadeesha Suchith,J Suchith,Indian,1/16/94,ORTHODOX,L,L
869,David Wiese,D Wiese,Namibian,5/18/85,MEDIUM_SEAM,R,R
2740,Hardik Pandya,H Pandya,Indian,10/11/93,MEDIUM_SEAM,R,R
730,Mitchell McClenaghan,M McClenaghan,New Zealander,6/11/86,FAST_SEAM,L,L
1564,Sarfaraz Khan,SN Khan,Indian,10/22/97,LEG_SPIN,R,R
277,Ronit More,R More,Indian,2/11/92,OFF_SPIN,R,R
1745,Shardul Thakur,S Thakur,Indian,10/16/91,MEDIUM_SEAM,R,R
951,Gurinder Sandhu,G Sandhu,Australian,2/14/93,MEDIUM_SEAM,R,R
1740,Jayant Yadav,J Yadav,Indian,1/22/90,OFF_SPIN,R,R
2746,Barinder Sran,B Sran,Indian,12/10/92,MEDIUM_SEAM,L,L
509,Jos Buttler,J Buttler,English,9/8/90,,R,R
3187,Murugan Ashwin,M Ashwin,Indian,9/8/90,LEG_SPIN,R,R
773,Colin Munro,C Munro,New Zealander,3/11/87,MEDIUM_SEAM,L,R
2722,Carlos Brathwaite,C Brathwaite,West Indian,7/18/88,MEDIUM_SEAM,R,R
964,Marcus Stoinis,M Stoinis,Australian,8/16/89,MEDIUM_SEAM,R,R
2745,Pradeep Sahu,P Sahu,Indian,8/21/85,LEG_SPIN,R,R
2975,Ishan Kishan,I Kishan,Indian,7/18/98,,L,L
434,Adam Milne,A Milne,New Zealander,4/13/92,FAST_SEAM,R,R
1594,Mustafizur Rahman,M Rahman,Bangladeshi,9/6/95,FAST_SEAM,L,L
261,Kuldeep Yadav,K Yadav,Indian,12/14/94,UNORTHODOX,L,L
3177,Akshdeep Nath,A Nath,Indian,5/10/93,MEDIUM_SEAM,R,R
3183,Krunal Pandya,K Pandya,Indian,3/24/91,ORTHODOX,L,L
1105,Kyle Abbott,K Abbott,South African,6/18/87,MEDIUM_SEAM,R,R
431,Martin Guptill,M Guptill,New Zealander,9/30/86,OFF_SPIN,R,R
1020,Travis Head,T Head,Australian,12/29/93,OFF_SPIN,L,R
3309,Tabraiz Shamsi,T Shamsi,South African,2/18/90,UNORTHODOX,R,L
2732,Nikhil Naik,N Naik,Indian,11/9/94,,R,L
2972,Rishabh Pant,R Pant,Indian,10/4/97,,L,L
932,Peter Handscomb,P Handscomb,Australian,4/26/91,,R,R
3178,Shivil Kaushik,S Kaushik,Indian,7/9/95,UNORTHODOX,R,L
2756,Sam Billings,S Billings,English,6/15/91,,R,R
1475,Scott Boland,S Boland,Australian,4/11/89,MEDIUM_SEAM,R,R
3180,Swapnil Singh,S Singh,Indian,1/22/91,,R,L
948,Usman Khawaja,U Khawaja,Australian,12/18/86,MEDIUM_SEAM,L,R
1299,Chris Jordan,C Jordan,English,10/4/88,FAST_SEAM,R,R
958,Adam Zampa,A Zampa,Australian,3/31/92,LEG_SPIN,R,R
456,Hashim Amla,H Amla,South African,3/31/83,MEDIUM_SEAM,R,R
457,Farhaan Behardien,F Behardien,South African,10/9/83,MEDIUM_SEAM,R,R
2738,Nitish Rana,N Rana,Indian,12/27/93,OFF_SPIN,L,R
140,Deepak Chahar,D Chahar,Indian,8/7/92,MEDIUM_SEAM,R,R
118,Eklavya Dwivedi ,E Dwivedi ,Indian,7/22/88,,R,R
2885,Rashid Khan,R Khan,Afghan,9/20/98,LEG_SPIN,R,R
3319,Tymal Mills,T Mills,English,8/12/92,FAST_SEAM,R,L
1111,Aniket Choudhary,A Choudhary,Indian,1/28/90,MEDIUM_SEAM,R,L
1154,Ben Stokes,B Stokes,English,6/4/91,FAST_SEAM,L,R
1906,Jason Roy,J Roy,English,7/21/90,,R,R
967,Chris Woakes,C Woakes,English,3/2/89,FAST_SEAM,R,R
3831,T Natarajan,T Natarajan,Indian,5/27/91,MEDIUM_SEAM,L,L
3763,Rahul Chahar,R Chahar,Indian,8/4/99,LEG_SPIN,R,R
4305,Vishnu Vinod,V Vinod,Indian,12/2/93,,R,R
1521,Billy Stanlake,B Stanlake,Australian,11/4/94,FAST_SEAM,L,R
3827,Tejas Baroka,T Baroka,Indian,2/1/96,LEG_SPIN,R,R
3825,Basil Thampi,B Thampi,Indian,9/11/93,MEDIUM_SEAM,R,R
3838,Rahul Tripathi,R Tripathi,Indian,3/2/91,MEDIUM_SEAM,R,R
820,Colin de Grandhomme,C de Grandhomme,New Zealander,7/22/86,MEDIUM_SEAM,R,R
1480,Andrew Tye,A Tye,Australian,12/12/86,MEDIUM_SEAM,R,R
3729,Lockie Ferguson,L Ferguson,New Zealander,6/13/91,FAST_SEAM,R,R
618,Mohammad Nabi,M Nabi,Afghan,1/1/85,OFF_SPIN,R,R
3840,Mohammed Siraj,M Siraj,Indian,3/13/94,MEDIUM_SEAM,R,R
2973,Washington Sundar,W Sundar,Indian,10/5/99,OFF_SPIN,L,R
1664,Kagiso Rabada,K Rabada,South African,5/25/95,FAST_SEAM,L,R
3826,Shubham Agarwal,S Agarwal,Indian,11/21/93,LEG_SPIN,R,R
3186,Nathu Singh,N Singh,Indian,9/8/95,MEDIUM_SEAM,R,R
